ID;Name;Description
20562;temp;
22289;Test1;N/A啊实打实地问 阿杜啊我的啊我的 大屋大屋大 第七位地区的期望 地区稳定期望
22598;Yellow Lv5 Rune;Yellow Lv5 Rune
22597;Red Lv4 Rune;Red Lv4 Rune
22708;Assassin's Talent;Venom Assassin [Dual Stings] Lv +1 Additional attribute rarity: ★☆☆☆☆
22709;Assassin's Talent;Venom Assassin [Pain Amplification] Lv +1 Additional attribute rarity: ★☆☆☆☆
22710;Assassin's Talent;Venom Assassin [Darkness Poison] Lv +1 Additional attribute rarity: ★☆☆☆☆
22711;Assassin's Talent;Venom Assassin [Secret Art - Agony] Lv +1 Additional attribute rarity: ★★☆☆☆
22712;Assassin's Talent;Venom Assassin [Sudden Strike] Lv +1 Additional attribute rarity: ★★★☆☆
22713;Assassin's Talent;Venom Assassin [Strike of Pain] Lv +1 Additional attribute rarity: ★★★☆☆
22714;Assassin's Talent;Venom Assassin [Hurried Pain] Lv +1 Additional attribute rarity: ★★★☆☆
22715;Assassin's Talent;Venom Assassin [Pain of Nightmare] Lv +1 Additional attribute rarity: ★★★★☆
22716;Assassin's Talent;Venom Assassin [Seed of Agony] Lv +1 Additional attribute rarity: ★★★★☆
22717;Assassin's Talent;Venom Assassin [Lurking Sting] Lv +1 Additional attribute rarity: ★★★★★
22718;Assassin's Talent;Edge Assassin [Drastic Banish] Lv +1 Additional attribute rarity: ★☆☆☆☆
22719;Assassin's Talent;Edge Assassin [Shadow Spikes] Lv +1 Additional attribute rarity: ★☆☆☆☆
22720;Assassin's Talent;Edge Assassin [Swift Counter] Lv +1 Additional attribute rarity: ★☆☆☆☆
22721;Assassin's Talent;Edge Assassin [Seal Knowledge] Lv +1 Additional attribute rarity: ★★☆☆☆
22722;Assassin's Talent;Edge Assassin [Secret Art - Blast] Lv +1 Additional attribute rarity: ★★★☆☆
22723;Assassin's Talent;Human Assassin [Speed Seal] Lv +1\rKindred Assassin [Speed Limitation] Lv +1 Additional attribute rarity: ★★★★☆
22724;Assassin's Talent;Edge Assassin [Feral Cruelty] Lv +1 Additional attribute rarity: ★★★★☆
22725;Assassin's Talent;Edge Assassin [Intensified Aggression] Lv +1 Additional attribute rarity: ★★★★☆
22726;Assassin's Talent;Edge Assassin [Hypnotic Aggravation] Lv +1 Additional attribute rarity: ★★★★☆
22727;Assassin's Talent;Edge Assassin [Gouge] Lv +1 Additional attribute rarity: ★★★★★
22728;Assassin's Talent;Dark Assassin [Focused Maneuver] Lv +1 Additional attribute rarity: ★☆☆☆☆
22729;Assassin's Talent;Dark Assassin [Rapid Attack] Lv +1 Additional attribute rarity: ★★☆☆☆
22730;Assassin's Talent;Dark Assassin [Ghost Shadow] Lv +1 Additional attribute rarity: ★★☆☆☆
22731;Assassin's Talent;Dark Assassin [Belief of Speed] Lv +1 Additional attribute rarity: ★★☆☆☆
22732;Assassin's Talent;Dark Assassin [Swift Stalk] Lv +1 Additional attribute rarity: ★★★☆☆
22733;Assassin's Talent;Dark Assassin [Assassination Mastery] Lv +1 Additional attribute rarity: ★★★☆☆
22734;Assassin's Talent;Dark Assassin [Evasiveness] Lv +1 Additional attribute rarity: ★★★☆☆
22735;Assassin's Talent;Dark Assassin (Freedom of Wind/Contract of Blood/Moon Step) Lv1  Additional attribute rarity: ★★★★☆
22736;Assassin's Talent;Dark Assassin [Stealth Theory] Lv +1 Additional attribute rarity: ★★★★☆
22737;Assassin's Talent;Dark Assassin [Swift Evasion] Lv +1 Additional attribute rarity: ★★★★★
24225;N/A符文天赋属性包_刺客高级_天赋31;Venom Assassin  (Ture Secret Art - Agony) Lv1  Additional Attributes Rarity: ★★☆☆☆ (True Rune)
24226;N/A符文天赋属性包_刺客高级_天赋32;Venom Assassin  (True Lurking Sting) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24227;N/A符文天赋属性包_刺客高级_天赋33;Edge Assassin (True Secret Art - Blast) Lv1  Additional Attributes Rarity: ★★★☆☆ (True Rune)
24228;N/A符文天赋属性包_刺客高级_天赋34;Edge Assassin (True Gouge) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24229;N/A符文天赋属性包_刺客高级_天赋35;Dark Assassin  (True Freedom of Wind/Contract of Blood/Moon Step) Lv1  Additional Attributes Rarity: ★★★★☆ (True Rune)
24230;N/A符文天赋属性包_刺客高级_天赋36;Dark Assassin  (True Swift Evasion) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24231;N/A符文天赋属性包_刺客高级_天赋37;Venom Assassin  (Shadow Evasion) Lv1  Additional Attributes Rarity: ★★★★★
24232;N/A符文天赋属性包_刺客高级_天赋38;Venom Assassin  (Darkness Expert/Night Hunter) Lv1  Additional Attributes Rarity: ★★★☆☆
24233;N/A符文天赋属性包_刺客高级_天赋39;Venom Assassin  (Intensified Nightmare) Lv1  Additional Attributes Rarity: ★★★☆☆
24234;N/A符文天赋属性包_刺客高级_天赋40;Edge Assassin (Embrace of Death) Lv1  Additional Attributes Rarity: ★★★★☆
24235;N/A符文天赋属性包_刺客高级_天赋41;Dark Assassin  (Advanced Shadow Protection) Lv1  Additional Attributes Rarity: ★★★☆☆
24236;N/A符文天赋属性包_刺客高级_天赋42;Dark Assassin  (Art of Hunting) Lv1  Additional Attributes Rarity: ★★★☆☆
22768;Mage's Talent;Fire Mage [Fire Ball Explosion] Lv +1 Additional attribute rarity: ★★☆☆☆
22769;Mage's Talent;Fire Mage [Flame Inspiration] Lv +1 Additional attribute rarity: ★★★☆☆
22770;Mage's Talent;Fire Mage [Lingering Fire] Lv +1 Additional attribute rarity: ★★★☆☆
22771;Mage's Talent;Fire Mage [Advanced Flame of Fury] Lv +1 Additional attribute rarity: ★★★☆☆
22772;Mage's Talent;Fire Mage [Swift Transform] Lv +1 Additional attribute rarity: ★★★★★
22773;Mage's Talent;Fire Mage [Flame of Fury] Lv +1 Additional attribute rarity: ★★★★★
22774;Mage's Talent;Fire Mage [Infuriated Mind] Lv +1 Additional attribute rarity: ★★★★☆
22775;Mage's Talent;Fire Mage [Steady Wind Drive] Lv +1 Additional attribute rarity: ★☆☆☆☆
22776;Mage's Talent;Fire Mage [Fire Shield] Lv +1 Additional attribute rarity: ★★★☆☆
22777;Mage's Talent;Fire Mage [Advanced Art of Magic] Lv +1 Additional attribute rarity: ★☆☆☆☆
22778;Mage's Talent;Lightning Mage [Magic Fountain] Lv +1 Additional attribute rarity: ★☆☆☆☆
22779;Mage's Talent;Lightning Mage [Sinister Force] Lv +1 Additional attribute rarity: ★★★★★
22780;Mage's Talent;Lightning Mage [Soul Contract] Lv +1 Additional attribute rarity: ★☆☆☆☆
22781;Mage's Talent;Lightning Mage [Rolling Thunder] Lv +1 Additional attribute rarity: ★★★☆☆
22782;Mage's Talent;Lightning Mage [Swift Wind Drive] Lv +1 Additional attribute rarity: ★☆☆☆☆
22783;Mage's Talent;Lightning Mage [Energy of Protection] Lv +1 Additional attribute rarity: ★★★★★
22784;Mage's Talent;Lightning Mage [Advanced Paralyze] Lv +1 Additional attribute rarity: ★★☆☆☆
22785;Mage's Talent;Lightning Mage [Sustained Energy] Lv +1 Additional attribute rarity: ★★★★☆
22786;Mage's Talent;Lightning Mage [Meditation of Wind] Lv +1 Additional attribute rarity: ★★★☆☆
22787;Mage's Talent;Lightning Mage [Streak of Lightning] Lv +1 Additional attribute rarity: ★★★★★
22788;Mage's Talent;Frost Mage [Precision of Water] Lv +1 Additional attribute rarity: ★★★★☆
22789;Mage's Talent;Frost Mage [Chilling Ice] Lv +1 Additional attribute rarity: ★★★☆☆
22790;Mage's Talent;Frost Mage [Ice Inspiration] Lv +1 Additional attribute rarity: ★★★★☆
22791;Mage's Talent;Frost Mage [Extremity Dimension] Lv +1 Additional attribute rarity: ★★☆☆☆
22792;Mage's Talent;Frost Mage [Ice Shield] Lv +1 Additional attribute rarity: ★★★☆☆
22793;Mage's Talent;Frost Mage [Magic Suppression] Lv +1 Additional attribute rarity: ★☆☆☆☆
22794;Mage's Talent;Frost Mage [Advanced Ice Spike] Lv +1 Additional attribute rarity: ★★☆☆☆
22795;Mage's Talent;Frost Mage [Harsh Freeze] Lv +1 Additional attribute rarity: ★★★★★
22796;Mage's Talent;Frost Mage [Ice Spike] Lv +1 Additional attribute rarity: ★★★★★
22797;Mage's Talent;Frost Mage [Boundary] Lv +1 Additional attribute rarity: ★★☆☆☆
24237;N/A符文天赋属性包_法师高级_天赋31;Fire Mage (True Flame of Fury) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24238;N/A符文天赋属性包_法师高级_天赋32;Fire Mage (True Fire Shield) Lv1  Additional Attributes Rarity: ★★★☆☆ (True Rune)
24239;N/A符文天赋属性包_法师高级_天赋33;Lightning Mage   (True Sinister Force) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24240;N/A符文天赋属性包_法师高级_天赋34;Lightning Mage   (True Streak of Lightning) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24241;N/A符文天赋属性包_法师高级_天赋35;Frost Mage  (True Ice Shield) Lv1  Additional Attributes Rarity: ★★★☆☆ (True Rune)
24242;N/A符文天赋属性包_法师高级_天赋36;Frost Mage  (True Ice Spike) Lv1  Additional Attributes Rarity: ★★★★★ (True Rune)
24243;N/A符文天赋属性包_法师高级_天赋37;Fire Mage (Hasted Flames) Lv1  Additional Attributes Rarity: ★★★★☆
24244;N/A符文天赋属性包_法师高级_天赋38;Fire Mage (Fire Meditation) Lv1  Additional Attributes Rarity: ★★★☆☆
24245;N/A符文天赋属性包_法师高级_天赋39;Lightning Mage   (Shock Expansion) Lv1  Additional Attributes Rarity: ★★★☆☆
24246;N/A符文天赋属性包_法师高级_天赋40;Frost Mage  (Advanced Wind Rider ) Lv1  Additional Attributes Rarity: ★★★☆☆
24247;N/A符文天赋属性包_法师高级_天赋41;Frost Mage  (Advanced Frost Realm) Lv1  Additional Attributes Rarity: ★★★☆☆
24248;N/A符文天赋属性包_法师高级_天赋42;Fire Mage (Master of Heat) Lv1  Additional Attributes Rarity: ★★★★☆
22738;Marksman's Talent;Precision Marksman [Weakpoint Tag] Lv +1 Additional attribute rarity: ★★☆☆☆
22739;Marksman's Talent;Precision Marksman [Solid Shot] Lv +1 Additional attribute rarity: ★☆☆☆☆
22740;Marksman's Talent;Precision Marksman [Soul Preservation] Lv +1 Additional attribute rarity: ★★★☆☆
22741;Marksman's Talent;Precision Marksman [Aimed Shot] Lv +1 Additional attribute rarity: ★★★★☆
22742;Marksman's Talent;Precision Marksman [Choking Cloud] Lv +1 Additional attribute rarity: ★★★☆☆
22743;Marksman's Talent;Precision Marksman [Target Practice] Lv +1 Additional attribute rarity: ★★★☆☆
22744;Marksman's Talent;Precision Marksman [Soulforce Return] Lv +1 Additional attribute rarity: ★★☆☆☆
22745;Marksman's Talent;Precision Marksman [Contact] Lv +1 Additional attribute rarity: ★★★☆☆
22746;Marksman's Talent;Precision Marksman [Master Sniper] Lv +1 Additional attribute rarity: ★★★★☆
22747;Marksman's Talent;Precision Marksman [Encourage] Lv +1 Additional attribute rarity: ★★★★★
22748;Marksman's Talent;Soul Marksman [Soul Rift] Lv +1 Additional attribute rarity: ★★☆☆☆
22749;Marksman's Talent;Soul Marksman [Professional Hunter] Lv +1 Additional attribute rarity: ★★★☆☆
22750;Marksman's Talent;Soul Marksman [Sixth Sense] Lv +1 Additional attribute rarity: ★☆☆☆☆
22751;Marksman's Talent;Soul Marksman [Soul Discharge] Lv +1 Additional attribute rarity: ★★★★★
22752;Marksman's Talent;Soul Marksman [Durability] Lv +1 Additional attribute rarity: ★★★☆☆
22753;Marksman's Talent;Soul Marksman [Soul Ash] Lv +1 Additional attribute rarity: ★★★☆☆
22754;Marksman's Talent;Soul Marksman [Soul Guidance] Lv +1 Additional attribute rarity: ★★★★☆
22755;Marksman's Talent;Soul Marksman [Soul Suspension] Lv +1 Additional attribute rarity: ★★☆☆☆
22756;Marksman's Talent;Soul Marksman [Remains of the Soul] Lv +1 Additional attribute rarity: ★★★☆☆
22757;Marksman's Talent;Soul Marksman [Burst of Rage] Lv +1 Additional attribute rarity: ★★★★★
22758;Marksman's Talent;Burst Marksman [Heat Bullet] Lv +1 Additional attribute rarity: ★☆☆☆☆
22759;Marksman's Talent;Burst Marksman [Shrapnel] Lv +1 Additional attribute rarity: ★★★☆☆
22760;Marksman's Talent;Burst Marksman [Rake of Fury] Lv +1 Additional attribute rarity: ★★★★★
